chapter,chapter_num,chapter_title,section_num,section,section_title,brief_path,session_starter_path,section_tex,figure,table,listing,equation,diagnostic
ch01,1,From dense compute to conditional compute,1,1.1,The dense FFN bottleneck,section_development_briefs/ch01/01-the-dense-ffn-bottleneck.md,session_starters/ch01/01-the-dense-ffn-bottleneck.md,latex_book_skeleton/chapters/ch01/sections/01-the-dense-ffn-bottleneck.tex,latex_book_skeleton/figures/ch01/fig-the-dense-ffn-bottleneck.tex,latex_book_skeleton/tables/ch01/tab-the-dense-ffn-bottleneck.tex,latex_book_skeleton/listings/ch01/lst-the-dense-ffn-bottleneck.tex,latex_book_skeleton/equations/ch01/eq-the-dense-ffn-bottleneck.tex,A small cost table proving that increasing H increases every token path.
ch01,1,From dense compute to conditional compute,2,1.2,Conditional compute as the central idea,section_development_briefs/ch01/02-conditional-compute-as-the-central-idea.md,session_starters/ch01/02-conditional-compute-as-the-central-idea.md,latex_book_skeleton/chapters/ch01/sections/02-conditional-compute-as-the-central-idea.tex,latex_book_skeleton/figures/ch01/fig-conditional-compute-as-the-central-idea.tex,latex_book_skeleton/tables/ch01/tab-conditional-compute-as-the-central-idea.tex,latex_book_skeleton/listings/ch01/lst-conditional-compute-as-the-central-idea.tex,latex_book_skeleton/equations/ch01/eq-conditional-compute-as-the-central-idea.tex,"Compute the active fraction for E=4, K=2 and E=16, K=2."
ch01,1,From dense compute to conditional compute,3,1.3,A tiny routing story,section_development_briefs/ch01/03-a-tiny-routing-story.md,session_starters/ch01/03-a-tiny-routing-story.md,latex_book_skeleton/chapters/ch01/sections/03-a-tiny-routing-story.tex,latex_book_skeleton/figures/ch01/fig-a-tiny-routing-story.tex,latex_book_skeleton/tables/ch01/tab-a-tiny-routing-story.tex,latex_book_skeleton/listings/ch01/lst-a-tiny-routing-story.tex,latex_book_skeleton/equations/ch01/eq-a-tiny-routing-story.tex,Check that gates for each token sum to one after top-k normalization.
ch01,1,From dense compute to conditional compute,4,1.4,What from scratch means for this book,section_development_briefs/ch01/04-what-from-scratch-means-for-this-book.md,session_starters/ch01/04-what-from-scratch-means-for-this-book.md,latex_book_skeleton/chapters/ch01/sections/04-what-from-scratch-means-for-this-book.tex,latex_book_skeleton/figures/ch01/fig-what-from-scratch-means-for-this-book.tex,latex_book_skeleton/tables/ch01/tab-what-from-scratch-means-for-this-book.tex,latex_book_skeleton/listings/ch01/lst-what-from-scratch-means-for-this-book.tex,latex_book_skeleton/equations/ch01/eq-what-from-scratch-means-for-this-book.tex,"Checklist that every chapter must include shapes, a code path, and a verification artifact."
ch01,1,From dense compute to conditional compute,5,1.5,The MiniDeepSeekMoE build ladder,section_development_briefs/ch01/05-the-minideepseekmoe-build-ladder.md,session_starters/ch01/05-the-minideepseekmoe-build-ladder.md,latex_book_skeleton/chapters/ch01/sections/05-the-minideepseekmoe-build-ladder.tex,latex_book_skeleton/figures/ch01/fig-the-minideepseekmoe-build-ladder.tex,latex_book_skeleton/tables/ch01/tab-the-minideepseekmoe-build-ladder.tex,latex_book_skeleton/listings/ch01/lst-the-minideepseekmoe-build-ladder.tex,latex_book_skeleton/equations/ch01/eq-the-minideepseekmoe-build-ladder.tex,Milestone checklist that marks which diagnostics appear by each chapter.
ch01,1,From dense compute to conditional compute,6,1.6,Chapter summary and handoff,section_development_briefs/ch01/06-chapter-summary-and-handoff.md,session_starters/ch01/06-chapter-summary-and-handoff.md,latex_book_skeleton/chapters/ch01/sections/06-chapter-summary-and-handoff.tex,latex_book_skeleton/figures/ch01/fig-chapter-summary-and-handoff.tex,latex_book_skeleton/tables/ch01/tab-chapter-summary-and-handoff.tex,latex_book_skeleton/listings/ch01/lst-chapter-summary-and-handoff.tex,latex_book_skeleton/equations/ch01/eq-chapter-summary-and-handoff.tex,Reader checkpoint: identify which part of the dense model will be replaced by MoE.
ch02,2,A dense Transformer baseline from scratch,1,2.1,Dataset and token batches,section_development_briefs/ch02/01-dataset-and-token-batches.md,session_starters/ch02/01-dataset-and-token-batches.md,latex_book_skeleton/chapters/ch02/sections/01-dataset-and-token-batches.tex,latex_book_skeleton/figures/ch02/fig-dataset-and-token-batches.tex,latex_book_skeleton/tables/ch02/tab-dataset-and-token-batches.tex,latex_book_skeleton/listings/ch02/lst-dataset-and-token-batches.tex,latex_book_skeleton/equations/ch02/eq-dataset-and-token-batches.tex,Print the first input-target pair and decode it to verify shifting.
ch02,2,A dense Transformer baseline from scratch,2,2.2,Token and position embeddings,section_development_briefs/ch02/02-token-and-position-embeddings.md,session_starters/ch02/02-token-and-position-embeddings.md,latex_book_skeleton/chapters/ch02/sections/02-token-and-position-embeddings.tex,latex_book_skeleton/figures/ch02/fig-token-and-position-embeddings.tex,latex_book_skeleton/tables/ch02/tab-token-and-position-embeddings.tex,latex_book_skeleton/listings/ch02/lst-token-and-position-embeddings.tex,latex_book_skeleton/equations/ch02/eq-token-and-position-embeddings.tex,Assert output shape and confirm gradients flow to both embedding tables.
ch02,2,A dense Transformer baseline from scratch,3,2.3,Causal self-attention as the context path,section_development_briefs/ch02/03-causal-self-attention-as-the-context-path.md,session_starters/ch02/03-causal-self-attention-as-the-context-path.md,latex_book_skeleton/chapters/ch02/sections/03-causal-self-attention-as-the-context-path.tex,latex_book_skeleton/figures/ch02/fig-causal-self-attention-as-the-context-path.tex,latex_book_skeleton/tables/ch02/tab-causal-self-attention-as-the-context-path.tex,latex_book_skeleton/listings/ch02/lst-causal-self-attention-as-the-context-path.tex,latex_book_skeleton/equations/ch02/eq-causal-self-attention-as-the-context-path.tex,Check that a token cannot attend to future positions.
ch02,2,A dense Transformer baseline from scratch,4,2.4,Dense feed-forward block as the replacement target,section_development_briefs/ch02/04-dense-feed-forward-block-as-the-replacement-target.md,session_starters/ch02/04-dense-feed-forward-block-as-the-replacement-target.md,latex_book_skeleton/chapters/ch02/sections/04-dense-feed-forward-block-as-the-replacement-target.tex,latex_book_skeleton/figures/ch02/fig-dense-feed-forward-block-as-the-replacement-target.tex,latex_book_skeleton/tables/ch02/tab-dense-feed-forward-block-as-the-replacement-target.tex,latex_book_skeleton/listings/ch02/lst-dense-feed-forward-block-as-the-replacement-target.tex,latex_book_skeleton/equations/ch02/eq-dense-feed-forward-block-as-the-replacement-target.tex,Confirm FFN preserves the final D dimension.
